"","products_sold","product_category","quality","satisfaction","discount","retail_price","perc_physical","market_size"
"119",200338,"food","off_brand",4.7,6,24,55.3,1819
"120",111421,"toys","premium",4,4,14,80.7,779
"121",95397,"other","off_brand",3.8,6,25,88.4,1188
"122",108738,"toys","off_brand",4.1,3,12,44.1,2404
"123",122294,"food","off_brand",3.1,13,14,62.9,1050
"124",103270,"other","off_brand",4.1,4,28,40.3,802
"125",74048,"toys","off_brand",4.6,2,36,76.7,858
"126",207099,"health","premium",4.7,11,7,40.9,2137
"127",220259,"health","off_brand",4.2,4,19,51.9,2884
"128",152543,"toys","off_brand",3.6,3,23,71.2,3014
"129",178842,"food","premium",4.8,8,25,42.4,1062
"130",170775,"food","off_brand",4.2,4,21,74.2,1940
"131",246927,"food","off_brand",4.9,7,22,42.1,2836
"132",133563,"health","premium",3.9,18,NA,29.9,971
"133",60482,"toys","off_brand",3.6,3,21,71,1312
"134",189611,"health","off_brand",4.3,1,NA,53.2,3069
"135",117864,"toys","off_brand",4.4,12,32,72.8,1637
"136",190787,"toys",NA,4.2,16,28,54.7,1699
"137",142142,"health","premium",4.3,10,27,45.5,1028
"138",113119,"food","off_brand",4.3,5,28,72.2,1428
"139",218216,"other","off_brand",4.2,14,9,42.5,3208
"140",151668,"toys","premium",4.4,8,25,55,2355
"141",52532,"health","premium",4,5,19,38.3,733
"142",128485,"health","off_brand",4.4,6,10,47.2,1066
"143",111375,"health","premium",4.3,6,24,50.5,1887
"144",203190,"health","premium",3.9,4,2,28.6,3279
"145",157268,"other","premium",4.4,1,20,NA,1824
"146",237274,"other","off_brand",4.3,7,12,13.2,4102
"147",178394,"health","off_brand",3.9,7,5,5,2162
"148",95990,"toys","premium",2.9,14,20,41.9,1239
"149",174896,"food","off_brand",4.3,5,11,37,1820
"150",89371,"other","premium",3.9,7,29,5,953
"151",202097,"toys","off_brand",4,17,17,63.9,3023
"152",187092,"other","premium",4.2,4,21,52.5,3120
"153",115960,"toys","off_brand",3.1,4,NA,56.3,2090
"154",108640,"toys","premium",4.4,5,23,61.9,805
"155",110324,"health","off_brand",4.7,13,11,95.8,1043
"156",87308,"other",NA,3.9,5,19,33.6,944
"157",201462,"food","off_brand",4.5,0,24,61,2241
"158",139646,"health","off_brand",4.6,9,18,61.1,1013
"159",70107,"health",NA,3.7,6,30,6.5,1061
"160",146610,"health","off_brand",4.9,1,33,52,1708
"161",65126,"health","off_brand",3.3,7,23,33.2,1203
"162",201214,"health","premium",4.4,30,19,27.9,2797
"163",77556,"food","off_brand",3.5,2,30,55.3,914
"164",250979,"health","off_brand",4.1,13,24,87.8,3297
"165",123600,"other","off_brand",4.7,8,26,65.5,940
"166",228983,"toys",NA,4.7,8,11,55.2,3316
"167",92553,"toys","premium",4.6,8,31,44.2,870
"168",113986,"toys","off_brand",3.2,17,17,33.3,1074
"169",108579,"other","premium",4.6,4,31,59,940
"170",70017,"other","premium",3.9,15,NA,19.2,1081
"171",267011,"food","off_brand",4.5,5,29,45,4098
"172",140304,"other","off_brand",3.6,15,13,45.6,2123
"173",136068,"toys","off_brand",4.2,14,NA,77.9,1272
"174",112276,"toys","off_brand",3.3,4,17,56,2476
"175",143424,"toys","off_brand",3.6,4,16,NA,3958
"176",173959,"health","premium",4.8,13,32,11.3,2098
"177",137543,"other","premium",4.1,5,26,57.8,1842
"178",158492,"toys","premium",4.4,8,21,71.3,2451
"179",160040,"toys","off_brand",4,1,11,65,2220
"180",142394,"health","off_brand",4.9,6,NA,70.6,944
"181",224933,"food","premium",4.8,16,17,34.6,1878
"182",191524,"toys","off_brand",4.7,9,37,42.5,2341
"183",56267,"toys","off_brand",3.9,5,12,69.7,1299
"184",219721,"toys","off_brand",4.6,3,NA,6.7,3151
"185",120384,"health",NA,4.2,5,23,61.9,1369
"186",90595,"toys","off_brand",3.1,11,9,107.5,764
"187",187289,"health","premium",4.4,6,26,35.7,3230
"188",110026,"other","premium",4.4,15,14,58.9,1000
"189",179947,"toys","premium",4.7,1,16,34.9,2436
"190",193035,"other","off_brand",4.5,14,24,32.1,2315
"191",132244,"health","off_brand",4.3,9,20,57.3,1944
"192",180388,"toys","off_brand",4.1,8,23,78.1,2688
"193",128301,"toys","premium",4.1,5,20,55,1533
"194",95015,"health","premium",3.3,3,40,62.1,2219
"195",201871,"health","off_brand",4,18,25,26.6,3197
"196",182126,"toys","premium",4.8,5,21,46.9,2464
"197",193010,"toys","off_brand",4.5,6,27,61.4,1761
"198",157615,"other","premium",3.6,9,3,53.9,3403
"199",165116,"health","off_brand",4.7,6,NA,52,984
"200",156125,"toys","premium",4.8,5,18,84,2625
"201",118832,"toys","off_brand",4.4,14,16,50.4,921
"202",142294,"health","off_brand",2.6,5,14,51.7,3122
"203",130063,"toys","premium",4.7,7,19,56.5,1811
"204",82764,"other","premium",3.8,4,14,14.1,994
"205",182349,"health","premium",4.5,12,19,6.2,2403
"206",133387,"food","premium",4.3,5,26,29,2490
"207",78561,"other","premium",4.3,2,14,30.5,846
"208",44877,"food","off_brand",3.3,181,29,70.1,817
"209",221255,"food","off_brand",4.7,6,28,NA,2687
"210",93778,"toys","premium",4.2,13,24,37.2,861
"211",185180,"food","off_brand",4.6,16,18,NA,1319
"212",189264,"other","off_brand",3.5,5,30,NA,4083
"213",226808,"food","premium",4.4,9,17,11.2,3386
"214",190620,"toys","premium",4.5,10,20,27.6,2178
"215",248992,"food","premium",4.7,6,1,75.5,2995
"216",130247,"food","off_brand",3.7,2,18,34.2,1491
"217",150350,"health","off_brand",4.4,3,5,60.1,1435
"218",199152,"toys","premium",4.5,6,20,38.8,2565
"219",221884,"health","off_brand",4.5,11,13,29.5,2732
"220",167587,"food","premium",4.1,5,18,8.9,1303
"221",152858,"health","off_brand",3.8,3,17,NA,2345
"222",124990,"health","off_brand",4.1,6,18,38.1,1313
"223",154401,"toys","premium",3.8,8,19,23.1,2386
"224",148032,"health","off_brand",3.9,6,15,47.6,2546
"225",33553,"health","off_brand",4.3,2,29,14.3,962
"226",201447,"food","off_brand",4.2,16,27,45.3,2500
"227",136967,"toys","off_brand",4.9,3,19,59.1,880
"228",134932,"toys","premium",4.6,6,17,60.1,1624
"229",164844,"health",NA,3.5,12,13,51.5,2809
"230",268451,"health","off_brand",4.1,22,15,31.3,4011
"231",189829,"toys","premium",4.4,3,19,35.4,2901
"232",124538,"toys","premium",3.8,2,26,58,2122
"233",158951,"other","off_brand",3.5,14,19,67.7,2010
"234",255836,"food","off_brand",4.1,31,26,57.2,3115
"235",102421,"health","premium",2.9,18,32,23.9,1303
"236",240618,"food","off_brand",4.7,2,27,82.7,2558
"237",199364,"health","off_brand",4.8,0,15,60.4,2808
"238",113503,"health","off_brand",3.7,9,22,61.7,1202
"239",105325,"health","off_brand",4.6,6,25,22,881
"240",208533,"health","off_brand",4.8,11,14,29.9,2523
"241",126698,"food","premium",3.3,12,21,33.4,1149
"242",179866,"food","off_brand",4.8,11,15,38.2,1210
"243",254663,"other","off_brand",4.3,21,18,46.5,3545
"244",156152,"food","off_brand",4.4,14,18,84.4,1044
"245",103121,"food","premium",4.1,12,13,23.4,953
"246",86184,"health","premium",4.3,2,22,12.8,956
"247",151978,"health","premium",3.1,2,20,39.6,2939
"248",198602,"other","premium",4,6,NA,34.1,2793
"249",115941,"toys","off_brand",4.2,10,22,28.5,1140
"250",82905,"health",NA,4.3,4,30,45.6,864
"251",174533,"health","off_brand",4.9,9,10,97.9,708
"252",68034,"toys","premium",2.6,28,22,49,1662
"253",202137,"health","off_brand",4.8,2,16,5.8,2633
"254",192091,"health","premium",4.4,8,17,62.1,2975
"255",126405,"health","premium",4.8,1,22,44.3,751
"256",16161,"toys","premium",3,9,29,37.4,640
"257",129396,"toys","off_brand",4.4,11,16,62.9,804
"258",119033,"other","off_brand",4.4,13,24,69.2,1299
"259",134860,"toys","off_brand",4,15,10,50.2,2055
"260",237475,"toys","premium",4.1,6,8,34.9,4224
"261",109469,"toys","premium",3.8,8,15,29.7,2439
"262",124518,"toys","off_brand",4.3,11,22,57.9,997
"263",117435,"health","off_brand",4,4,23,78.3,928
"264",163709,"health","off_brand",4.6,7,27,5,2137
"265",93478,"health","premium",3.8,5,8,52.1,947
"266",171686,"toys","off_brand",3.5,14,15,80.6,2727
"267",214843,"health","off_brand",4.8,7,17,51.4,2270
"268",139202,"health","premium",4.2,3,20,27.3,2462
"269",230373,"health","off_brand",4.8,10,20,36.7,2511
"270",206964,"health","premium",4.5,6,33,63.6,3293
"271",211868,"other","premium",4.2,13,11,27.3,2936
"272",204389,"other","off_brand",4.1,12,13,89.3,2518
"273",170742,"health","off_brand",4.2,2,22,46.2,3077
"274",94837,"health","off_brand",4,5,24,68.8,2000
"275",143073,"toys","premium",4.9,2,27,45.2,1095
"276",137911,"toys","off_brand",4.4,17,16,58,958
"277",145419,"other",NA,3.3,21,28,27.6,3480
"278",145424,"toys","premium",4.7,14,11,54.9,1353
"279",154817,"health","premium",4,4,18,69.4,3391
"280",155914,"food","premium",4.7,6,14,32.4,1260
"281",97003,"health","off_brand",4.2,4,31,36.6,1643
"282",235028,"food","premium",4.6,10,14,15.1,3048
"283",176486,"other","premium",4.6,4,13,36.3,1816
"284",151350,"health","off_brand",4.7,6,NA,82.7,922
"285",107258,"health",NA,4.4,7,14,37.3,1033
"286",123408,"other","premium",3.4,12,19,61.6,1914
"287",176705,"other","off_brand",3.7,7,28,33.8,3486
"288",193021,"toys","off_brand",4.5,7,31,56.2,2369
"289",191961,"food","off_brand",3.4,8,19,70.8,3462
"290",210032,"other","premium",4.8,13,16,31.8,1133
"291",114212,"toys","off_brand",4.4,10,6,29.9,811
"292",174090,"other",NA,4.6,3,21,25.8,1131
"293",193459,"health","off_brand",4.2,7,18,89.9,2567
"294",112757,"toys","off_brand",4.6,15,6,61.6,709
"295",125229,"health","off_brand",4.5,14,29,16,968
"296",76253,"other","off_brand",3.3,16,25,29.6,766
"297",220723,"food","premium",3.7,12,31,53.8,2673
"298",96556,"food","off_brand",3.8,7,NA,23.2,636
"299",170157,"toys","off_brand",4.9,13,25,56.7,2248
"300",195235,"food","off_brand",3,5,13,52.1,2304
"301",90571,"toys","off_brand",3.7,6,8,71.9,1002
"302",209632,"health","premium",4.9,14,19,31.4,1939
"303",146537,"other","premium",4,11,19,65.2,1941
"304",206893,"health",NA,4.6,8,20,54.9,2508
"305",203615,"other","premium",4.2,9,17,20.5,3059
"306",185947,"other","off_brand",4.7,15,29,33.9,1412
"307",141401,"health","off_brand",4,7,26,56.3,2347
"308",88714,"toys","premium",4,3,12,44,895
"309",123348,"toys","off_brand",4.5,10,23,55.9,811
"310",225054,"health","off_brand",4.6,3,17,37.8,2854
"311",202892,"health",NA,4.7,15,NA,5,2036
"312",112339,"toys","premium",4.8,7,23,23.5,942
"313",163985,"health",NA,4,6,24,58.1,2217
"314",159415,"health","premium",4.1,1,10,35.4,2837
"315",248149,"food",NA,4.4,13,26,69.5,3027
"316",170953,"health","premium",4.8,8,22,32.6,2019
"317",156382,"toys","off_brand",4.8,10,10,42,950
"318",169605,"health","off_brand",4.5,22,22,NA,740
"319",60604,"toys","premium",3.3,8,26,31.4,749
"320",205228,"health","off_brand",3.6,9,18,45.6,3434
"321",151772,"food","off_brand",4.5,6,27,48.8,1680
"322",207044,"food","off_brand",4.5,1,26,55.9,2309
"323",108011,"other","off_brand",2.4,13,8,29,899
"324",133881,"health","premium",4.5,11,21,29.9,930
"325",157156,"health",NA,4.4,16,25,22.3,2017
"326",89651,"toys","premium",3.2,5,10,58.2,1585
"327",245655,"health","premium",4.8,13,20,73.2,2975
"328",197629,"health","off_brand",4.4,13,9,27.4,1391
"329",193552,"toys","off_brand",4.6,16,15,90.4,920
"330",196561,"toys","premium",4.5,11,21,52.4,2652
"331",219430,"food",NA,4.8,1,14,69.9,2633
"332",140153,"food",NA,4.3,3,17,45.7,1956
"333",249646,"toys","premium",4.8,13,20,6.7,3587
"334",191732,"food","off_brand",4.5,8,33,50.1,2431
"335",150639,"health","premium",3.8,2,NA,46.4,2960
"336",180589,"health","premium",4.7,8,9,5.6,2199
"337",128984,"health","off_brand",3.4,7,26,94.2,2763
"338",244089,"health","off_brand",3.9,2,26,39.4,3314
"339",192295,"other","premium",4.3,9,25,50.6,2613
"340",83329,"toys","off_brand",2.3,13,22,35,2135
"341",216176,"health","premium",4,17,25,27.3,3516
"342",103377,"toys","off_brand",4.2,5,26,45.5,2064
"343",120234,"health","off_brand",4.5,5,19,79.2,853
"344",131716,"toys","off_brand",4.5,15,29,52.3,1411
"345",108970,"toys","premium",4.1,8,13,72.9,1159
"346",187810,"health","off_brand",4.1,2,35,45.3,3220
"347",228732,"toys","off_brand",4.7,15,6,48.6,3472
"348",144729,"other","premium",4.1,8,NA,20.2,2925
"349",188444,"other","off_brand",3.7,6,16,63.1,3191
"350",134144,"health","off_brand",4.5,5,24,25.6,1132
"351",75287,"toys","premium",4.5,4,12,48.2,954
"352",196671,"toys","off_brand",4.6,9,25,53.6,2584
"353",15055,"toys","premium",3.4,3,28,35.3,892
"354",176963,"food","off_brand",4.4,7,2,NA,2294
"355",247355,"toys","off_brand",4.3,15,28,75,2941
"356",121089,"health","premium",4.6,17,13,68.9,985
"357",119893,"health","premium",4.3,4,24,36.1,1709
"358",89389,"toys",NA,4.3,9,27,27.6,692
"359",124847,"health","off_brand",4.3,2,23,66.8,1299
"360",121921,"health","off_brand",4.4,6,NA,24.2,2357
"361",146678,"food","off_brand",4.6,12,16,24.1,702
"362",103581,"toys","premium",3.8,6,23,40.8,1736
"363",146765,"food","premium",4.7,204,9,90.3,902
"364",139311,"health","premium",4.6,6,11,25.8,864
"365",238410,"other","off_brand",4.3,5,26,33.1,3562
"366",213708,"food","premium",4.5,12,NA,23.2,2369
"367",121905,"health","off_brand",4,4,18,47.2,2108
"368",145214,"health","premium",4.1,3,29,42.3,2637
"369",194907,"food","off_brand",4.7,22,1,69.8,1185
"370",143533,"health","premium",4.2,0,24,36.1,2578
"371",145120,"food","premium",4.6,5,17,58.4,923
"372",82640,"toys","off_brand",3.6,11,30,76.4,868
"373",182007,"toys","premium",4.4,4,21,53.2,2661
"374",161399,"health","premium",4.9,2,23,70.2,2178
"375",102334,"toys","off_brand",3.1,19,23,51.7,1697
"376",131041,"toys","off_brand",4.3,4,16,67.5,1301
"377",78121,"health","premium",3.2,6,18,46.9,1696
"378",142030,"other","premium",4.2,3,10,30.8,1848
"379",186273,"toys","off_brand",4.7,6,26,77.1,2132
"380",180718,"food","off_brand",3.8,4,35,39.6,3407
"381",204795,"toys","premium",4,13,22,46.7,3910
"382",189031,"health","off_brand",4.4,160,22,62,2548
"383",103371,"other","off_brand",3.6,4,24,55.7,1976
"384",92979,"food","off_brand",3,12,22,77.6,919
"385",56640,"toys","off_brand",3.2,1,9,78.1,1626
"386",82498,"health","premium",3.5,2,16,60.7,2033
"387",140064,"health","off_brand",4.6,7,26,56.6,1318
"388",227668,"health","premium",4.7,8,17,53.5,2328
"389",232554,"health","premium",4.5,2,31,50.8,3574
"390",42981,"toys","off_brand",3.3,10,14,76.3,895
"391",136881,"toys","off_brand",4.3,9,23,60.1,932
"392",142482,"toys","off_brand",4.5,9,NA,96.7,1750
"393",168412,"food","off_brand",4.3,18,12,88.2,1214
"394",165539,"health","premium",4.6,13,27,33.1,3126
"395",186427,"other","off_brand",4.4,2,20,39.5,2638
"396",156827,"health","off_brand",3.7,8,37,5,2183
"397",111540,"other","off_brand",4.1,11,26,63.2,673
"398",122003,"food","off_brand",3.7,7,7,90.9,1324
"399",114597,"other","premium",3.2,7,NA,9.6,2042
"400",190592,"health","premium",4.4,6,19,25.7,3119
"401",172370,"health","off_brand",4.5,10,32,33,2152
"402",142942,"food","off_brand",3.9,10,NA,45.3,1505
"403",117072,"toys","premium",4,13,NA,32.2,1762
"404",120919,"toys","off_brand",3.1,14,19,79.1,2338
"405",113491,"toys","off_brand",4.2,7,18,83.1,1623
"406",157684,"other","premium",4.8,13,22,43.8,757
"407",106105,"toys","premium",4.5,1,19,46.1,832
"408",151512,"food","off_brand",4.7,3,20,65.2,866
"409",151987,"toys","off_brand",4.5,8,31,70.7,2482
"410",129200,"other","off_brand",4.3,7,NA,57.9,852
"411",109166,"food","premium",4.3,7,NA,NA,855
"412",214094,"toys","premium",4.7,11,25,80.5,3400
"413",73033,"health","off_brand",3.4,13,28,11,892
"414",229894,"health","off_brand",4.6,16,23,64,3151
"415",247475,"food","premium",4.8,9,22,73.6,2463
"416",146828,"food","off_brand",3.8,15,24,26.2,1460
"417",139308,"health","premium",4.2,2,NA,20.8,2377
"418",118000,"other","premium",4.2,12,24,15.1,758
"419",91023,"health","off_brand",4.4,7,15,85.4,1069
"420",140282,"toys","off_brand",3.2,14,20,58.6,2321
"421",179426,"health",NA,4.3,4,NA,34.1,2734
"422",175787,"health","off_brand",4.5,5,15,5,2338
"423",59426,"toys","premium",3.8,6,31,72.3,751
"424",95104,"toys","off_brand",4.2,10,15,61.5,971
"425",198471,"health","off_brand",3.9,7,26,44.4,3570
"426",188780,"health","off_brand",4,4,19,31,2897
"427",207101,"toys","off_brand",4.4,8,13,45.7,3074
"428",172335,"toys","off_brand",4.8,5,25,45.8,1980
"429",192820,"toys","premium",4.9,8,15,5,1143
"430",121682,"health","off_brand",4.4,9,13,66.8,965
"431",119478,"health","off_brand",4.6,11,33,60.2,639
"432",163129,"food","premium",4.3,7,NA,30.6,2418
"433",206262,"food","off_brand",4.4,17,NA,64.8,1314
"434",118643,"health","off_brand",4.3,8,31,5,1137
"435",230170,"food","premium",3.9,20,19,46.5,2824
"436",122945,"health","premium",4.5,4,34,41.1,1198
"437",112390,"health","off_brand",4.4,6,23,5.2,848
"438",146562,"health","premium",4.2,9,14,11.7,1568
"439",108829,"food","off_brand",3.6,5,30,70.8,998
"440",127984,"toys","off_brand",3.9,8,19,60.7,2777
"441",120959,"toys","premium",4.5,4,23,39.2,1191
"442",185347,"other","off_brand",4.6,3,23,39,2199
"443",142396,"health","off_brand",3.6,4,18,50.3,1867
"444",148190,"toys","off_brand",3.8,5,25,69.2,3554
"445",114389,"health",NA,4.7,2,17,38.9,474
"446",163613,"health","off_brand",3.9,5,20,71.5,2679
"447",221811,"other","off_brand",3,16,38,26.8,3773
"448",138738,"other","off_brand",4.1,11,27,51.3,1193
"449",104253,"health","off_brand",4.4,1,20,54.4,818
"450",97612,"health","off_brand",4,14,20,63.2,843
"451",108805,"health","off_brand",3.9,14,24,34.7,1919
"452",178613,"health","off_brand",4.2,6,NA,28.3,2967
"453",32343,"toys","off_brand",3,7,18,70,1063
"454",96110,"toys","off_brand",4.6,18,26,64.6,338
"455",152464,"health","premium",3.2,2,28,16.3,2459
"456",147791,"health","premium",4.7,13,11,67.9,2023
"457",56833,"toys","off_brand",4.4,4,18,64,664
"458",45240,"health","premium",3.5,9,NA,75.6,1012
"459",104652,"toys","off_brand",3.5,4,21,76.8,1216
"460",196153,"toys","premium",4,21,26,39.8,3438
"461",175728,"toys","premium",3.2,7,12,38.5,2857
"462",224236,"health","premium",4.5,17,19,21.9,2777
"463",152178,"toys","premium",4.2,2,21,48.6,2734
"464",97454,"health","off_brand",3.7,8,22,38.1,1201
"465",103076,"other","off_brand",4,12,17,91,1134
"466",160312,"health","off_brand",4.8,8,14,59.5,1248
"467",169102,"toys","off_brand",4.8,12,6,53.3,1880
"468",194959,"toys","premium",4.8,7,20,57.4,3026
"469",98520,"other",NA,3.8,7,7,74.6,1265
"470",106018,"toys","off_brand",4,1,33,64.4,2025
"471",151879,"toys","premium",4.5,7,19,62.2,1729
"472",199002,"toys","premium",4.7,11,21,47.9,2443
"473",143792,"food","off_brand",4.6,3,23,71.3,856
"474",161792,"food","premium",4.8,1,18,26.1,2173
"475",172651,"toys","off_brand",4.2,5,NA,55.1,3422
"476",152428,"other","off_brand",4.9,3,27,34.9,1313
"477",223868,"health",NA,4.8,10,18,50.5,2448
"478",181510,"other","premium",4.8,7,18,26.7,2591
"479",72083,"toys","premium",3.5,7,21,62.7,943
"480",134633,"other","off_brand",4.1,16,13,64.6,1004
"481",44614,"other","off_brand",3.2,12,32,46.4,691
"482",167857,"food","premium",4.4,13,21,21.9,2347
"483",162368,"health","premium",4.5,1,19,34.4,2699
"484",220966,"toys","off_brand",4.5,2,19,51.4,3439
"485",142953,"health","off_brand",4.7,4,28,NA,1138
"486",275774,"toys","premium",4.5,11,12,49.9,4867
"487",128716,"toys","off_brand",4.4,4,14,67.5,1095
"488",131602,"toys","premium",4,23,14,77.9,1016
"489",24586,"toys","off_brand",3.5,9,23,61.1,859
"490",116262,"toys","premium",4.2,12,10,89.5,1061
"491",51837,"other","premium",4,3,12,45,572
"492",183989,"food","off_brand",2.6,2,NA,28.2,3177
"493",98410,"toys","premium",4.5,13,20,63.2,1144
"494",181384,"toys","premium",4,1,6,58.7,3530
"495",84344,"toys","premium",4.6,9,19,43.7,1581
"496",147079,"toys","off_brand",4.5,17,26,41.1,1423
"497",171824,"food","premium",4.6,19,18,46,1197
"498",110200,"toys","premium",4.1,17,23,62.9,1651
